wbe;jahr;alter20
011;2000;223
011;2001;217
011;2002;211
011;2003;209
011;2004;211
011;2005;221
011;2006;218
011;2007;222
011;2008;201
011;2009;187
011;2010;163
011;2011;154
011;2012;156
011;2013;163
011;2014;171
011;2015;161
012;2000;306
012;2001;299
012;2002;289
012;2003;294
012;2004;283
012;2005;291
012;2006;277
012;2007;289
012;2008;283
012;2009;291
012;2010;302
012;2011;292
012;2012;291
012;2013;291
012;2014;283
012;2015;299
013;2000;428
013;2001;436
013;2002;433
013;2003;417
013;2004;417
013;2005;405
013;2006;404
013;2007;411
013;2008;413
013;2009;401
013;2010;387
013;2011;401
013;2012;401
013;2013;412
013;2014;424
013;2015;415
014;2000;660
014;2001;645
014;2002;650
014;2003;656
014;2004;643
014;2005;643
014;2006;613
014;2007;596
014;2008;594
014;2009;546
014;2010;550
014;2011;556
014;2012;587
014;2013;581
014;2014;566
014;2015;576
021;2000;1018
021;2001;1003
021;2002;1018
021;2003;991
021;2004;978
021;2005;961
021;2006;932
021;2007;912
021;2008;941
021;2009;950
021;2010;905
021;2011;925
021;2012;966
021;2013;1001
021;2014;998
021;2015;979
022;2000;340
022;2001;344
022;2002;339
022;2003;329
022;2004;334
022;2005;360
022;2006;365
022;2007;363
022;2008;382
022;2009;381
022;2010;383
022;2011;372
022;2012;363
022;2013;374
022;2014;367
022;2015;398
023;2000;539
023;2001;550
023;2002;554
023;2003;564
023;2004;551
023;2005;542
023;2006;574
023;2007;572
023;2008;581
023;2009;573
023;2010;578
023;2011;557
023;2012;559
023;2013;558
023;2014;575
023;2015;561
024;2000;393
024;2001;392
024;2002;394
024;2003;390
024;2004;386
024;2005;388
024;2006;387
024;2007;385
024;2008;403
024;2009;433
024;2010;443
024;2011;424
024;2012;418
024;2013;455
024;2014;436
024;2015;447
025;2000;657
025;2001;656
025;2002;649
025;2003;629
025;2004;621
025;2005;607
025;2006;627
025;2007;602
025;2008;626
025;2009;643
025;2010;637
025;2011;614
025;2012;603
025;2013;626
025;2014;675
025;2015;686
026;2000;158
026;2001;161
026;2002;170
026;2003;166
026;2004;169
026;2005;173
026;2006;175
026;2007;182
026;2008;155
026;2009;149
026;2010;152
026;2011;145
026;2012;141
026;2013;139
026;2014;146
026;2015;133
031;2000;2140
031;2001;2100
031;2002;2104
031;2003;2146
031;2004;2138
031;2005;2085
031;2006;2057
031;2007;2053
031;2008;2069
031;2009;2073
031;2010;2062
031;2011;2075
031;2012;2051
031;2013;2149
031;2014;2153
031;2015;2137
032;2000;2218
032;2001;2199
032;2002;2232
032;2003;2218
032;2004;2291
032;2005;2294
032;2006;2280
032;2007;2271
032;2008;2280
032;2009;2256
032;2010;2189
032;2011;2240
032;2012;2234
032;2013;2233
032;2014;2238
032;2015;2287
033;2000;2254
033;2001;2188
033;2002;2160
033;2003;2168
033;2004;2192
033;2005;2199
033;2006;2135
033;2007;2136
033;2008;2147
033;2009;2165
033;2010;2214
033;2011;2253
033;2012;2270
033;2013;2279
033;2014;2208
033;2015;2210
034;2000;156
034;2001;140
034;2002;146
034;2003;144
034;2004;159
034;2005;178
034;2006;186
034;2007;172
034;2008;166
034;2009;170
034;2010;145
034;2011;132
034;2012;164
034;2013;188
034;2014;175
034;2015;161
041;2000;2660
041;2001;2685
041;2002;2591
041;2003;2635
041;2004;2600
041;2005;2593
041;2006;2592
041;2007;2631
041;2008;2630
041;2009;2602
041;2010;2634
041;2011;2686
041;2012;2732
041;2013;2813
041;2014;2808
041;2015;2831
042;2000;2639
042;2001;2580
042;2002;2500
042;2003;2489
042;2004;2523
042;2005;2546
042;2006;2612
042;2007;2598
042;2008;2610
042;2009;2607
042;2010;2641
042;2011;2661
042;2012;2721
042;2013;2769
042;2014;2849
042;2015;2849
051;2000;54
051;2001;67
051;2002;60
051;2003;48
051;2004;47
051;2005;47
051;2006;62
051;2007;68
051;2008;63
051;2009;56
051;2010;38
051;2011;36
051;2012;40
051;2013;44
051;2014;46
051;2015;47
052;2000;575
052;2001;570
052;2002;576
052;2003;572
052;2004;582
052;2005;579
052;2006;597
052;2007;586
052;2008;640
052;2009;649
052;2010;642
052;2011;642
052;2012;647
052;2013;662
052;2014;679
052;2015;650
053;2000;3395
053;2001;3391
053;2002;3422
053;2003;3357
053;2004;3416
053;2005;3427
053;2006;3484
053;2007;3483
053;2008;3540
053;2009;3560
053;2010;3579
053;2011;3607
053;2012;3663
053;2013;3751
053;2014;3695
053;2015;3704
054;2000;1049
054;2001;1014
054;2002;1038
054;2003;1003
054;2004;1067
054;2005;1084
054;2006;1082
054;2007;1118
054;2008;1141
054;2009;1125
054;2010;1158
054;2011;1172
054;2012;1182
054;2013;1179
054;2014;1200
054;2015;1226
055;2000;448
055;2001;446
055;2002;460
055;2003;458
055;2004;441
055;2005;436
055;2006;399
055;2007;400
055;2008;449
055;2009;497
055;2010;500
055;2011;514
055;2012;509
055;2013;514
055;2014;539
055;2015;534
061;2000;4069
061;2001;4027
061;2002;4048
061;2003;4074
061;2004;4020
061;2005;3978
061;2006;4063
061;2007;4023
061;2008;4065
061;2009;4131
061;2010;4128
061;2011;4140
061;2012;4108
061;2013;4173
061;2014;4197
061;2015;4239
062;2000;4947
062;2001;4878
062;2002;4852
062;2003;4969
062;2004;5056
062;2005;5116
062;2006;5106
062;2007;5150
062;2008;5260
062;2009;5227
062;2010;5122
062;2011;5211
062;2012;5269
062;2013;5289
062;2014;5293
062;2015;5209
063;2000;3518
063;2001;3592
063;2002;3606
063;2003;3605
063;2004;3640
063;2005;3563
063;2006;3623
063;2007;3729
063;2008;3763
063;2009;3780
063;2010;3760
063;2011;3760
063;2012;3809
063;2013;3831
063;2014;3845
063;2015;3825
071;2000;2954
071;2001;2920
071;2002;2869
071;2003;2861
071;2004;2857
071;2005;2832
071;2006;2834
071;2007;2911
071;2008;2905
071;2009;2968
071;2010;2966
071;2011;3017
071;2012;3057
071;2013;3096
071;2014;3073
071;2015;3079
072;2000;1705
072;2001;1695
072;2002;1702
072;2003;1694
072;2004;1694
072;2005;1698
072;2006;1722
072;2007;1707
072;2008;1743
072;2009;1753
072;2010;1759
072;2011;1769
072;2012;1734
072;2013;1738
072;2014;1752
072;2015;1731
073;2000;126
073;2001;137
073;2002;142
073;2003;145
073;2004;141
073;2005;141
073;2006;137
073;2007;135
073;2008;125
073;2009;151
073;2010;163
073;2011;163
073;2012;170
073;2013;173
073;2014;172
073;2015;160
081;2000;1505
081;2001;1468
081;2002;1487
081;2003;1439
081;2004;1434
081;2005;1447
081;2006;1412
081;2007;1403
081;2008;1392
081;2009;1378
081;2010;1340
081;2011;1361
081;2012;1379
081;2013;1386
081;2014;1362
081;2015;1365
082;2000;995
082;2001;1003
082;2002;1026
082;2003;1045
082;2004;1065
082;2005;1039
082;2006;1049
082;2007;1090
082;2008;1090
082;2009;1099
082;2010;1091
082;2011;1109
082;2012;1081
082;2013;1076
082;2014;1092
082;2015;1131
083;2000;1180
083;2001;1160
083;2002;1183
083;2003;1182
083;2004;1227
083;2005;1219
083;2006;1187
083;2007;1179
083;2008;1236
083;2009;1262
083;2010;1258
083;2011;1259
083;2012;1309
083;2013;1336
083;2014;1355
083;2015;1356
084;2000;962
084;2001;955
084;2002;980
084;2003;974
084;2004;985
084;2005;999
084;2006;993
084;2007;1007
084;2008;1006
084;2009;1017
084;2010;1035
084;2011;1046
084;2012;1032
084;2013;1025
084;2014;1048
084;2015;1051
085;2000;3098
085;2001;3089
085;2002;3074
085;2003;3068
085;2004;3101
085;2005;3086
085;2006;3042
085;2007;3118
085;2008;3099
085;2009;3137
085;2010;3095
085;2011;3140
085;2012;3176
085;2013;3206
085;2014;3223
085;2015;3234
091;2000;3158
091;2001;3118
091;2002;3155
091;2003;3183
091;2004;3192
091;2005;3213
091;2006;3208
091;2007;3224
091;2008;3223
091;2009;3265
091;2010;3264
091;2011;3231
091;2012;3268
091;2013;3244
091;2014;3263
091;2015;3263
092;2000;945
092;2001;933
092;2002;920
092;2003;951
092;2004;958
092;2005;961
092;2006;962
092;2007;971
092;2008;973
092;2009;964
092;2010;961
092;2011;980
092;2012;994
092;2013;997
092;2014;1003
092;2015;1000
101;2000;4299
101;2001;4218
101;2002;4271
101;2003;4309
101;2004;4329
101;2005;4173
101;2006;4171
101;2007;4228
101;2008;4219
101;2009;4237
101;2010;4330
101;2011;4368
101;2012;4349
101;2013;4393
101;2014;4482
101;2015;4473
102;2000;2583
102;2001;2600
102;2002;2645
102;2003;2673
102;2004;2750
102;2005;2733
102;2006;2726
102;2007;2727
102;2008;2767
102;2009;2809
102;2010;2830
102;2011;2879
102;2012;2978
102;2013;3040
102;2014;3054
102;2015;3052
103;2000;2806
103;2001;2879
103;2002;2888
103;2003;2953
103;2004;2989
103;2005;2971
103;2006;3001
103;2007;3062
103;2008;3124
103;2009;3132
103;2010;3266
103;2011;3309
103;2012;3317
103;2013;3321
103;2014;3329
103;2015;3420
111;2000;2498
111;2001;2521
111;2002;2578
111;2003;2594
111;2004;2577
111;2005;2568
111;2006;2573
111;2007;2614
111;2008;2640
111;2009;2646
111;2010;2635
111;2011;2615
111;2012;2605
111;2013;2645
111;2014;2632
111;2015;2584
112;2000;1278
112;2001;1265
112;2002;1266
112;2003;1224
112;2004;1243
112;2005;1252
112;2006;1269
112;2007;1253
112;2008;1276
112;2009;1277
112;2010;1278
112;2011;1285
112;2012;1304
112;2013;1298
112;2014;1295
112;2015;1269
113;2000;4462
113;2001;4474
113;2002;4638
113;2003;4728
113;2004;4752
113;2005;4725
113;2006;4734
113;2007;4709
113;2008;4750
113;2009;4782
113;2010;4782
113;2011;4878
113;2012;4926
113;2013;5020
113;2014;4974
113;2015;4968
114;2000;1146
114;2001;1122
114;2002;1127
114;2003;1087
114;2004;1126
114;2005;1107
114;2006;1072
114;2007;1058
114;2008;1067
114;2009;1180
114;2010;1414
114;2011;1513
114;2012;1590
114;2013;1571
114;2014;1528
114;2015;1533
115;2000;2073
115;2001;2072
115;2002;2078
115;2003;2076
115;2004;2050
115;2005;2027
115;2006;2063
115;2007;2035
115;2008;2039
115;2009;2102
115;2010;2114
115;2011;2134
115;2012;2154
115;2013;2157
115;2014;2179
115;2015;2138
121;2000;1013
121;2001;1038
121;2002;1055
121;2003;1033
121;2004;1043
121;2005;1016
121;2006;993
121;2007;973
121;2008;965
121;2009;1011
121;2010;983
121;2011;980
121;2012;986
121;2013;1034
121;2014;1046
121;2015;1038
122;2000;550
122;2001;544
122;2002;553
122;2003;547
122;2004;531
122;2005;523
122;2006;533
122;2007;532
122;2008;541
122;2009;574
122;2010;598
122;2011;610
122;2012;601
122;2013;643
122;2014;697
122;2015;681
131;2000;630
131;2001;632
131;2002;640
131;2003;648
131;2004;636
131;2005;637
131;2006;626
131;2007;639
131;2008;633
131;2009;674
131;2010;655
131;2011;656
131;2012;678
131;2013;701
131;2014;675
131;2015;706
132;2000;1859
132;2001;1854
132;2002;1856
132;2003;1854
132;2004;1874
132;2005;1830
132;2006;1850
132;2007;1920
132;2008;1974
132;2009;2005
132;2010;1996
132;2011;1994
132;2012;2045
132;2013;2037
132;2014;2034
132;2015;1950
141;2000;1837
141;2001;1834
141;2002;1900
141;2003;1986
141;2004;2046
141;2005;2010
141;2006;2040
141;2007;2045
141;2008;2037
141;2009;2059
141;2010;2038
141;2011;2027
141;2012;2033
141;2013;2000
141;2014;2136
141;2015;2130
142;2000;1429
142;2001;1419
142;2002;1459
142;2003;1445
142;2004;1463
142;2005;1483
142;2006;1445
142;2007;1447
142;2008;1468
142;2009;1520
142;2010;1489
142;2011;1496
142;2012;1477
142;2013;1518
142;2014;1552
142;2015;1546
151;2000;1498
151;2001;1447
151;2002;1482
151;2003;1491
151;2004;1467
151;2005;1478
151;2006;1496
151;2007;1444
151;2008;1388
151;2009;1422
151;2010;1394
151;2011;1480
151;2012;1496
151;2013;1579
151;2014;1674
151;2015;1692
152;2000;1469
152;2001;1432
152;2002;1409
152;2003;1374
152;2004;1421
152;2005;1419
152;2006;1417
152;2007;1420
152;2008;1413
152;2009;1387
152;2010;1387
152;2011;1399
152;2012;1394
152;2013;1395
152;2014;1387
152;2015;1387
153;2000;1941
153;2001;1987
153;2002;1983
153;2003;1938
153;2004;1881
153;2005;1815
153;2006;1752
153;2007;1702
153;2008;1816
153;2009;1913
153;2010;1900
153;2011;1914
153;2012;1877
153;2013;1860
153;2014;1914
153;2015;1956
161;2000;2792
161;2001;2820
161;2002;2918
161;2003;2975
161;2004;3050
161;2005;3081
161;2006;3168
161;2007;3235
161;2008;3329
161;2009;3282
161;2010;3226
161;2011;3162
161;2012;3252
161;2013;3373
161;2014;3385
161;2015;3372
162;2000;73
162;2001;92
162;2002;96
162;2003;106
162;2004;98
162;2005;108
162;2006;110
162;2007;113
162;2008;128
162;2009;305
162;2010;404
162;2011;458
162;2012;455
162;2013;454
162;2014;447
162;2015;1104
171;2000;977
171;2001;964
171;2002;969
171;2003;977
171;2004;1011
171;2005;1018
171;2006;1057
171;2007;1025
171;2008;1090
171;2009;1072
171;2010;1051
171;2011;1057
171;2012;1097
171;2013;1095
171;2014;1127
171;2015;1103
172;2000;2575
172;2001;2423
172;2002;2413
172;2003;2443
172;2004;2528
172;2005;2500
172;2006;2433
172;2007;2484
172;2008;2547
172;2009;2538
172;2010;2524
172;2011;2606
172;2012;2631
172;2013;2689
172;2014;2666
172;2015;2681
173;2000;2096
173;2001;2128
173;2002;2246
173;2003;2281
173;2004;2297
173;2005;2298
173;2006;2324
173;2007;2358
173;2008;2398
173;2009;2355
173;2010;2311
173;2011;2321
173;2012;2283
173;2013;2332
173;2014;2312
173;2015;2311
174;2000;4805
174;2001;4898
174;2002;5040
174;2003;5088
174;2004;5116
174;2005;5186
174;2006;5218
174;2007;5304
174;2008;5389
174;2009;5356
174;2010;5344
174;2011;5450
174;2012;5386
174;2013;5522
174;2014;5530
174;2015;5386
180;2000;4514
180;2001;4481
180;2002;4542
180;2003;4571
180;2004;4581
180;2005;4602
180;2006;4650
180;2007;4625
180;2008;4703
180;2009;4803
180;2010;4767
180;2011;4840
180;2012;4862
180;2013;4870
180;2014;4952
180;2015;4920
190;2000;1457
190;2001;1463
190;2002;1530
190;2003;1558
190;2004;1568
190;2005;1631
190;2006;1630
190;2007;1608
190;2008;1615
190;2009;1678
190;2010;1647
190;2011;1690
190;2012;1820
190;2013;1814
190;2014;1816
190;2015;1818
201;2000;1812
201;2001;1897
201;2002;1912
201;2003;1910
201;2004;1852
201;2005;1801
201;2006;1773
201;2007;1733
201;2008;1750
201;2009;1750
201;2010;1809
201;2011;1809
201;2012;1802
201;2013;1787
201;2014;1757
201;2015;1740
202;2000;1452
202;2001;1478
202;2002;1480
202;2003;1468
202;2004;1465
202;2005;1470
202;2006;1476
202;2007;1459
202;2008;1431
202;2009;1452
202;2010;1457
202;2011;1457
202;2012;1414
202;2013;1402
202;2014;1433
202;2015;1413
203;2000;625
203;2001;608
203;2002;613
203;2003;617
203;2004;621
203;2005;602
203;2006;637
203;2007;653
203;2008;649
203;2009;641
203;2010;663
203;2011;659
203;2012;684
203;2013;680
203;2014;672
203;2015;688
204;2000;562
204;2001;576
204;2002;566
204;2003;559
204;2004;551
204;2005;497
204;2006;483
204;2007;487
204;2008;487
204;2009;469
204;2010;493
204;2011;501
204;2012;513
204;2013;507
204;2014;503
204;2015;479
205;2000;1154
205;2001;1158
205;2002;1166
205;2003;1135
205;2004;1106
205;2005;1085
205;2006;1083
205;2007;1058
205;2008;1051
205;2009;1043
205;2010;1102
205;2011;1073
205;2012;1055
205;2013;1072
205;2014;1059
205;2015;1039
206;2000;1286
206;2001;1244
206;2002;1269
206;2003;1252
206;2004;1256
206;2005;1223
206;2006;1222
206;2007;1236
206;2008;1255
206;2009;1258
206;2010;1257
206;2011;1261
206;2012;1260
206;2013;1274
206;2014;1300
206;2015;1272
207;2000;3358
207;2001;3362
207;2002;3336
207;2003;3349
207;2004;3382
207;2005;3349
207;2006;3379
207;2007;3396
207;2008;3343
207;2009;3283
207;2010;3330
207;2011;3312
207;2012;3362
207;2013;3448
207;2014;3457
207;2015;3461
208;2000;1211
208;2001;1201
208;2002;1222
208;2003;1214
208;2004;1223
208;2005;1239
208;2006;1228
208;2007;1195
208;2008;1232
208;2009;1215
208;2010;1209
208;2011;1190
208;2012;1188
208;2013;1165
208;2014;1201
208;2015;1201
301;2000;552
301;2001;535
301;2002;535
301;2003;539
301;2004;550
301;2005;543
301;2006;549
301;2007;541
301;2008;540
301;2009;548
301;2010;545
301;2011;555
301;2012;573
301;2013;566
301;2014;581
301;2015;559
302;2000;183
302;2001;176
302;2002;162
302;2003;170
302;2004;161
302;2005;170
302;2006;172
302;2007;158
302;2008;154
302;2009;161
302;2010;144
302;2011;149
302;2012;149
302;2013;138
302;2014;146
302;2015;135
