wbe;jahr;anzahl_w
011;2000;15
011;2001;14
011;2002;14
011;2003;12
011;2004;13
011;2005;14
011;2006;15
011;2007;14
011;2008;15
011;2009;18
011;2010;20
011;2011;19
011;2012;17
011;2013;18
011;2014;17
011;2015;18
012;2000;17
012;2001;14
012;2002;14
012;2003;13
012;2004;14
012;2005;14
012;2006;16
012;2007;16
012;2008;15
012;2009;13
012;2010;12
012;2011;15
012;2012;15
012;2013;16
012;2014;14
012;2015;14
013;2000;20
013;2001;21
013;2002;21
013;2003;21
013;2004;20
013;2005;21
013;2006;21
013;2007;22
013;2008;19
013;2009;19
013;2010;17
013;2011;16
013;2012;15
013;2013;14
013;2014;13
013;2015;14
014;2000;61
014;2001;59
014;2002;59
014;2003;54
014;2004;53
014;2005;54
014;2006;51
014;2007;49
014;2008;45
014;2009;45
014;2010;49
014;2011;44
014;2012;45
014;2013;43
014;2014;47
014;2015;44
021;2000;109
021;2001;98
021;2002;88
021;2003;77
021;2004;82
021;2005;82
021;2006;85
021;2007;82
021;2008;81
021;2009;73
021;2010;73
021;2011;70
021;2012;67
021;2013;69
021;2014;65
021;2015;63
022;2000;31
022;2001;33
022;2002;32
022;2003;31
022;2004;28
022;2005;28
022;2006;26
022;2007;29
022;2008;27
022;2009;27
022;2010;22
022;2011;18
022;2012;17
022;2013;20
022;2014;19
022;2015;19
023;2000;60
023;2001;59
023;2002;59
023;2003;57
023;2004;56
023;2005;59
023;2006;55
023;2007;53
023;2008;55
023;2009;57
023;2010;61
023;2011;62
023;2012;59
023;2013;57
023;2014;49
023;2015;42
024;2000;74
024;2001;76
024;2002;70
024;2003;68
024;2004;69
024;2005;64
024;2006;64
024;2007;68
024;2008;65
024;2009;63
024;2010;57
024;2011;52
024;2012;58
024;2013;61
024;2014;62
024;2015;64
025;2000;138
025;2001;137
025;2002;137
025;2003;127
025;2004;120
025;2005;120
025;2006;126
025;2007;136
025;2008;143
025;2009;127
025;2010;121
025;2011;116
025;2012;124
025;2013;123
025;2014;125
025;2015;121
026;2000;9
026;2001;11
026;2002;11
026;2003;12
026;2004;10
026;2005;10
026;2006;9
026;2007;10
026;2008;9
026;2009;9
026;2010;9
026;2011;9
026;2012;8
026;2013;8
026;2014;9
026;2015;9
031;2000;227
031;2001;221
031;2002;197
031;2003;214
031;2004;207
031;2005;206
031;2006;216
031;2007;224
031;2008;220
031;2009;226
031;2010;225
031;2011;241
031;2012;245
031;2013;236
031;2014;220
031;2015;211
032;2000;303
032;2001;298
032;2002;293
032;2003;274
032;2004;293
032;2005;284
032;2006;283
032;2007;292
032;2008;278
032;2009;270
032;2010;271
032;2011;266
032;2012;252
032;2013;238
032;2014;201
032;2015;203
033;2000;249
033;2001;270
033;2002;296
033;2003;312
033;2004;307
033;2005;305
033;2006;309
033;2007;299
033;2008;286
033;2009;282
033;2010;275
033;2011;265
033;2012;255
033;2013;248
033;2014;242
033;2015;239
034;2000;8
034;2001;8
034;2002;11
034;2003;10
034;2004;10
034;2005;9
034;2006;11
034;2007;12
034;2008;8
034;2009;10
034;2010;11
034;2011;8
034;2012;10
034;2013;10
034;2014;11
034;2015;11
041;2000;323
041;2001;300
041;2002;297
041;2003;282
041;2004;280
041;2005;287
041;2006;297
041;2007;288
041;2008;280
041;2009;267
041;2010;259
041;2011;268
041;2012;246
041;2013;245
041;2014;244
041;2015;232
042;2000;458
042;2001;463
042;2002;454
042;2003;436
042;2004;429
042;2005;421
042;2006;412
042;2007;406
042;2008;400
042;2009;374
042;2010;368
042;2011;357
042;2012;352
042;2013;354
042;2014;342
042;2015;330
051;2000;2
051;2001;2
051;2002;3
051;2003;2
051;2004;2
051;2005;2
051;2006;2
051;2007;1
051;2008;0
051;2009;0
051;2010;1
051;2011;1
051;2012;1
051;2013;1
051;2014;1
051;2015;1
052;2000;104
052;2001;103
052;2002;105
052;2003;103
052;2004;98
052;2005;92
052;2006;90
052;2007;89
052;2008;92
052;2009;86
052;2010;86
052;2011;84
052;2012;80
052;2013;72
052;2014;67
052;2015;66
053;2000;527
053;2001;528
053;2002;516
053;2003;508
053;2004;493
053;2005;478
053;2006;479
053;2007;470
053;2008;454
053;2009;452
053;2010;451
053;2011;438
053;2012;427
053;2013;398
053;2014;389
053;2015;376
054;2000;281
054;2001;274
054;2002;274
054;2003;269
054;2004;262
054;2005;266
054;2006;263
054;2007;261
054;2008;251
054;2009;248
054;2010;249
054;2011;254
054;2012;249
054;2013;254
054;2014;285
054;2015;291
055;2000;77
055;2001;75
055;2002;112
055;2003;128
055;2004;136
055;2005;137
055;2006;146
055;2007;147
055;2008;137
055;2009;142
055;2010;144
055;2011;140
055;2012;142
055;2013;141
055;2014;172
055;2015;192
061;2000;287
061;2001;278
061;2002;272
061;2003;256
061;2004;245
061;2005;239
061;2006;237
061;2007;239
061;2008;234
061;2009;229
061;2010;230
061;2011;228
061;2012;250
061;2013;274
061;2014;278
061;2015;276
062;2000;361
062;2001;355
062;2002;359
062;2003;349
062;2004;339
062;2005;323
062;2006;313
062;2007;315
062;2008;308
062;2009;303
062;2010;301
062;2011;290
062;2012;271
062;2013;261
062;2014;262
062;2015;253
063;2000;261
063;2001;252
063;2002;242
063;2003;230
063;2004;225
063;2005;257
063;2006;259
063;2007;257
063;2008;252
063;2009;241
063;2010;237
063;2011;222
063;2012;215
063;2013;217
063;2014;216
063;2015;213
071;2000;458
071;2001;452
071;2002;451
071;2003;431
071;2004;423
071;2005;403
071;2006;395
071;2007;401
071;2008;402
071;2009;381
071;2010;367
071;2011;372
071;2012;369
071;2013;359
071;2014;348
071;2015;336
072;2000;322
072;2001;312
072;2002;322
072;2003;308
072;2004;296
072;2005;298
072;2006;297
072;2007;294
072;2008;282
072;2009;289
072;2010;286
072;2011;276
072;2012;271
072;2013;269
072;2014;253
072;2015;254
073;2000;24
073;2001;17
073;2002;15
073;2003;15
073;2004;16
073;2005;18
073;2006;20
073;2007;20
073;2008;20
073;2009;19
073;2010;19
073;2011;16
073;2012;17
073;2013;14
073;2014;15
073;2015;15
081;2000;143
081;2001;137
081;2002;135
081;2003;134
081;2004;129
081;2005;128
081;2006;136
081;2007;132
081;2008;130
081;2009;123
081;2010;115
081;2011;124
081;2012;118
081;2013;114
081;2014;116
081;2015;113
082;2000;173
082;2001;172
082;2002;165
082;2003;157
082;2004;154
082;2005;161
082;2006;143
082;2007;128
082;2008;127
082;2009;127
082;2010;128
082;2011;130
082;2012;129
082;2013;121
082;2014;114
082;2015;107
083;2000;261
083;2001;255
083;2002;253
083;2003;248
083;2004;249
083;2005;250
083;2006;245
083;2007;249
083;2008;248
083;2009;250
083;2010;244
083;2011;235
083;2012;220
083;2013;210
083;2014;218
083;2015;203
084;2000;123
084;2001;118
084;2002;122
084;2003;117
084;2004;116
084;2005;111
084;2006;106
084;2007;102
084;2008;103
084;2009;89
084;2010;88
084;2011;94
084;2012;92
084;2013;86
084;2014;87
084;2015;79
085;2000;431
085;2001;422
085;2002;412
085;2003;404
085;2004;399
085;2005;400
085;2006;381
085;2007;365
085;2008;361
085;2009;353
085;2010;340
085;2011;330
085;2012;324
085;2013;309
085;2014;303
085;2015;296
091;2000;393
091;2001;384
091;2002;379
091;2003;358
091;2004;351
091;2005;346
091;2006;335
091;2007;335
091;2008;330
091;2009;347
091;2010;332
091;2011;330
091;2012;312
091;2013;315
091;2014;290
091;2015;292
092;2000;192
092;2001;189
092;2002;186
092;2003;187
092;2004;188
092;2005;180
092;2006;179
092;2007;166
092;2008;169
092;2009;167
092;2010;154
092;2011;145
092;2012;144
092;2013;145
092;2014;138
092;2015;130
101;2000;391
101;2001;373
101;2002;357
101;2003;353
101;2004;352
101;2005;348
101;2006;335
101;2007;330
101;2008;318
101;2009;307
101;2010;297
101;2011;296
101;2012;291
101;2013;281
101;2014;284
101;2015;274
102;2000;469
102;2001;463
102;2002;441
102;2003;417
102;2004;407
102;2005;353
102;2006;348
102;2007;342
102;2008;340
102;2009;319
102;2010;311
102;2011;294
102;2012;286
102;2013;278
102;2014;256
102;2015;238
103;2000;456
103;2001;449
103;2002;444
103;2003;442
103;2004;433
103;2005;407
103;2006;390
103;2007;397
103;2008;368
103;2009;363
103;2010;350
103;2011;337
103;2012;334
103;2013;329
103;2014;324
103;2015;312
111;2000;255
111;2001;247
111;2002;233
111;2003;227
111;2004;216
111;2005;205
111;2006;204
111;2007;185
111;2008;179
111;2009;185
111;2010;173
111;2011;187
111;2012;205
111;2013;201
111;2014;201
111;2015;189
112;2000;150
112;2001;149
112;2002;148
112;2003;149
112;2004;141
112;2005;137
112;2006;141
112;2007;141
112;2008;137
112;2009;130
112;2010;134
112;2011;126
112;2012;125
112;2013;127
112;2014;128
112;2015;129
113;2000;289
113;2001;287
113;2002;277
113;2003;266
113;2004;259
113;2005;252
113;2006;239
113;2007;247
113;2008;247
113;2009;251
113;2010;250
113;2011;232
113;2012;238
113;2013;226
113;2014;230
113;2015;229
114;2000;59
114;2001;59
114;2002;51
114;2003;41
114;2004;45
114;2005;43
114;2006;39
114;2007;34
114;2008;31
114;2009;31
114;2010;34
114;2011;33
114;2012;29
114;2013;32
114;2014;29
114;2015;31
115;2000;378
115;2001;349
115;2002;350
115;2003;347
115;2004;352
115;2005;356
115;2006;337
115;2007;335
115;2008;328
115;2009;325
115;2010;314
115;2011;300
115;2012;290
115;2013;286
115;2014;321
115;2015;309
121;2000;124
121;2001;121
121;2002;120
121;2003;113
121;2004;107
121;2005;96
121;2006;102
121;2007;105
121;2008;100
121;2009;97
121;2010;93
121;2011;93
121;2012;81
121;2013;76
121;2014;73
121;2015;67
122;2000;71
122;2001;68
122;2002;74
122;2003;71
122;2004;70
122;2005;68
122;2006;64
122;2007;62
122;2008;62
122;2009;63
122;2010;60
122;2011;58
122;2012;56
122;2013;53
122;2014;57
122;2015;54
131;2000;56
131;2001;61
131;2002;58
131;2003;61
131;2004;57
131;2005;57
131;2006;54
131;2007;57
131;2008;55
131;2009;60
131;2010;58
131;2011;57
131;2012;50
131;2013;47
131;2014;41
131;2015;38
132;2000;270
132;2001;275
132;2002;266
132;2003;252
132;2004;243
132;2005;243
132;2006;225
132;2007;215
132;2008;232
132;2009;220
132;2010;217
132;2011;243
132;2012;242
132;2013;231
132;2014;221
132;2015;222
141;2000;236
141;2001;230
141;2002;214
141;2003;207
141;2004;210
141;2005;200
141;2006;182
141;2007;181
141;2008;173
141;2009;180
141;2010;181
141;2011;174
141;2012;167
141;2013;156
141;2014;168
141;2015;164
142;2000;250
142;2001;253
142;2002;238
142;2003;233
142;2004;215
142;2005;213
142;2006;211
142;2007;210
142;2008;207
142;2009;196
142;2010;181
142;2011;170
142;2012;163
142;2013;161
142;2014;148
142;2015;140
151;2000;268
151;2001;265
151;2002;259
151;2003;246
151;2004;245
151;2005;255
151;2006;249
151;2007;245
151;2008;238
151;2009;235
151;2010;232
151;2011;229
151;2012;219
151;2013;213
151;2014;202
151;2015;199
152;2000;294
152;2001;287
152;2002;296
152;2003;285
152;2004;269
152;2005;260
152;2006;260
152;2007;251
152;2008;244
152;2009;234
152;2010;224
152;2011;235
152;2012;218
152;2013;211
152;2014;196
152;2015;191
153;2000;378
153;2001;374
153;2002;378
153;2003;376
153;2004;373
153;2005;368
153;2006;344
153;2007;336
153;2008;332
153;2009;322
153;2010;319
153;2011;315
153;2012;311
153;2013;293
153;2014;300
153;2015;294
161;2000;267
161;2001;245
161;2002;235
161;2003;234
161;2004;222
161;2005;222
161;2006;226
161;2007;215
161;2008;198
161;2009;184
161;2010;179
161;2011;177
161;2012;175
161;2013;169
161;2014;162
161;2015;160
162;2000;1
162;2001;2
162;2002;2
162;2003;2
162;2004;2
162;2005;3
162;2006;3
162;2007;3
162;2008;3
162;2009;5
162;2010;3
162;2011;3
162;2012;5
162;2013;6
162;2014;6
162;2015;37
171;2000;73
171;2001;72
171;2002;67
171;2003;62
171;2004;61
171;2005;60
171;2006;64
171;2007;59
171;2008;62
171;2009;59
171;2010;53
171;2011;54
171;2012;48
171;2013;48
171;2014;46
171;2015;48
172;2000;205
172;2001;195
172;2002;182
172;2003;168
172;2004;169
172;2005;167
172;2006;156
172;2007;142
172;2008;138
172;2009;134
172;2010;131
172;2011;126
172;2012;121
172;2013;117
172;2014;122
172;2015;123
173;2000;97
173;2001;92
173;2002;85
173;2003;92
173;2004;92
173;2005;89
173;2006;88
173;2007;79
173;2008;80
173;2009;81
173;2010;79
173;2011;82
173;2012;80
173;2013;80
173;2014;72
173;2015;66
174;2000;307
174;2001;301
174;2002;283
174;2003;290
174;2004;295
174;2005;294
174;2006;292
174;2007;283
174;2008;295
174;2009;287
174;2010;300
174;2011;298
174;2012;293
174;2013;287
174;2014;279
174;2015;271
180;2000;437
180;2001;425
180;2002;415
180;2003;397
180;2004;369
180;2005;354
180;2006;346
180;2007;343
180;2008;337
180;2009;342
180;2010;336
180;2011;327
180;2012;319
180;2013;334
180;2014;326
180;2015;320
190;2003;185
190;2004;192
190;2000;195
190;2001;186
190;2002;196
190;2005;188
190;2006;191
190;2007;194
190;2008;182
190;2009;175
190;2010;164
190;2011;160
190;2012;160
190;2013;158
190;2014;158
190;2015;152
201;2000;294
201;2001;297
201;2002;295
201;2003;295
201;2004;304
201;2005;282
201;2006;270
201;2007;276
201;2008;301
201;2009;297
201;2010;301
201;2011;307
201;2012;307
201;2013;308
201;2014;303
201;2015;325
202;2000;119
202;2001;120
202;2002;113
202;2003;112
202;2004;119
202;2005;118
202;2006;118
202;2007;116
202;2008;115
202;2009;114
202;2010;111
202;2011;114
202;2012;114
202;2013;116
202;2014;118
202;2015;113
203;2000;169
203;2001;155
203;2002;127
203;2003;127
203;2004;130
203;2005;129
203;2006;134
203;2007;130
203;2008;124
203;2009;121
203;2010;123
203;2011;120
203;2012;118
203;2013;122
203;2014;123
203;2015;116
204;2000;80
204;2001;79
204;2002;79
204;2003;92
204;2004;92
204;2005;94
204;2006;93
204;2007;95
204;2008;94
204;2009;97
204;2010;100
204;2011;104
204;2012;97
204;2013;100
204;2014;100
204;2015;96
205;2000;136
205;2001;139
205;2002;143
205;2003;154
205;2004;154
205;2005;154
205;2006;152
205;2007;146
205;2008;148
205;2009;139
205;2010;143
205;2011;138
205;2012;131
205;2013;130
205;2014;133
205;2015;132
206;2000;181
206;2001;177
206;2002;183
206;2003;180
206;2004;185
206;2005;190
206;2006;190
206;2007;175
206;2008;173
206;2009;170
206;2010;171
206;2011;173
206;2012;163
206;2013;163
206;2014;156
206;2015;157
207;2000;524
207;2001;518
207;2002;510
207;2003;508
207;2004;498
207;2005;503
207;2007;497
207;2008;495
207;2009;472
207;2010;461
207;2011;463
207;2012;466
207;2013;466
207;2014;458
207;2015;451
207;2006;502
208;2000;137
208;2001;137
208;2002;138
208;2003;143
208;2004;142
208;2005;145
208;2006;146
208;2007;144
208;2008;146
208;2009;147
208;2010;151
208;2011;153
208;2012;148
208;2013;149
208;2014;144
208;2015;144
301;2000;58
301;2001;56
301;2002;57
301;2003;56
301;2004;59
301;2005;53
301;2006;55
301;2007;53
301;2008;55
301;2009;53
301;2010;55
301;2011;56
301;2012;52
301;2013;54
301;2014;55
301;2015;52
302;2004;13
302;2005;14
302;2007;16
302;2008;15
302;2009;15
302;2010;16
302;2012;13
302;2013;14
302;2014;14
302;2015;9
302;2000;4
302;2001;3
302;2002;12
302;2003;12
302;2006;14
302;2011;13
