wbe;jahr;bev_dichte
011;2000;26.7
011;2001;27.0
011;2002;26.1
011;2003;26.4
011;2004;26.5
011;2005;28.1
011;2006;27.1
011;2007;28.4
011;2008;26.9
011;2009;25.6
011;2010;24.4
011;2011;24.2
011;2012;24.1
011;2013;25.3
011;2014;26.3
012;2000;29.5
012;2001;29.3
012;2002;27.8
012;2003;28.7
012;2004;28.0
012;2005;28.4
012;2006;27.6
012;2007;28.3
012;2008;28.0
012;2009;28.5
012;2010;29.1
012;2011;29.2
012;2012;29.6
012;2013;30.2
012;2014;29.0
013;2000;108.6
013;2001;111.4
013;2002;109.2
013;2003;105.4
013;2004;105.6
013;2005;104.0
013;2006;105.2
013;2007;109.0
013;2008;110.4
013;2009;107.4
013;2010;105.2
013;2011;107.8
013;2012;110.0
013;2013;111.4
013;2014;113.0
014;2000;105.4
014;2001;103.3
014;2002;104.9
014;2003;104.9
014;2004;103.8
014;2005;103.5
014;2006;99.6
014;2007;98.8
014;2008;96.7
014;2009;92.5
014;2010;93.2
014;2011;94.0
014;2012;99.2
014;2013;98.7
014;2014;98.4
021;2000;56.7
021;2001;55.7
021;2002;54.0
021;2003;52.4
021;2004;52.3
021;2005;52.1
021;2006;49.8
021;2007;49.5
021;2008;50.2
021;2009;50.8
021;2010;48.8
021;2011;50.7
021;2012;52.1
021;2013;54.1
021;2014;53.6
022;2000;122.9
022;2001;122.7
022;2002;122.4
022;2003;119.0
022;2004;118.3
022;2005;125.6
022;2006;127.8
022;2007;126.3
022;2008;132.4
022;2009;131.0
022;2010;133.4
022;2011;129.3
022;2012;127.8
022;2013;129.0
022;2014;123.7
023;2000;60.7
023;2001;61.0
023;2002;61.0
023;2003;60.5
023;2004;59.2
023;2005;59.1
023;2006;62.5
023;2007;63.0
023;2008;65.3
023;2009;65.4
023;2010;66.2
023;2011;64.0
023;2012;64.2
023;2013;63.4
023;2014;63.7
024;2000;26.0
024;2001;26.2
024;2002;26.1
024;2003;25.7
024;2004;25.9
024;2005;25.7
024;2006;25.7
024;2007;25.4
024;2008;25.6
024;2009;27.7
024;2010;28.8
024;2011;27.3
024;2012;26.7
024;2013;28.7
024;2014;28.2
025;2000;59.7
025;2001;59.6
025;2002;58.3
025;2003;57.3
025;2004;57.3
025;2005;56.8
025;2006;59.7
025;2007;59.9
025;2008;62.7
025;2009;63.3
025;2010;62.0
025;2011;59.5
025;2012;58.8
025;2013;61.8
025;2014;66.6
026;2000;44.9
026;2001;45.8
026;2002;49.3
026;2003;47.6
026;2004;47.8
026;2005;48.2
026;2006;48.4
026;2007;50.7
026;2008;44.7
026;2009;43.3
026;2010;46.2
026;2011;43.8
026;2012;44.4
026;2013;44.2
026;2014;44.7
031;2000;117.0
031;2001;114.5
031;2002;113.3
031;2003;114.6
031;2004;115.4
031;2005;113.4
031;2006;112.4
031;2007;112.2
031;2008;113.3
031;2009;113.0
031;2010;112.1
031;2011;111.9
031;2012;111.6
031;2013;116.1
031;2014;116.2
032;2000;134.8
032;2001;134.8
032;2002;137.2
032;2003;135.9
032;2004;139.9
032;2005;140.4
032;2006;140.4
032;2007;140.0
032;2008;139.2
032;2009;139.2
032;2010;137.2
032;2011;138.7
032;2012;138.4
032;2013;137.9
032;2014;136.4
033;2000;108.5
033;2001;107.5
033;2002;108.0
033;2003;109.0
033;2004;109.2
033;2005;110.1
033;2006;107.8
033;2007;108.1
033;2008;108.5
033;2009;108.6
033;2010;111.1
033;2011;113.3
033;2012;114.7
033;2013;116.2
033;2014;113.5
034;2000;31.7
034;2001;29.8
034;2002;31.0
034;2003;31.2
034;2004;34.0
034;2005;36.2
034;2006;37.8
034;2007;36.5
034;2008;35.3
034;2009;36.3
034;2010;32.3
034;2011;29.5
034;2012;35.8
034;2013;41.2
034;2014;39.2
041;2000;158.7
041;2001;159.5
041;2002;154.1
041;2003;156.0
041;2004;154.9
041;2005;154.8
041;2006;154.1
041;2007;156.6
041;2008;156.2
041;2009;156.0
041;2010;156.2
041;2011;159.5
041;2012;161.1
041;2013;164.8
041;2014;164.3
042;2000;107.5
042;2001;106.0
042;2002;103.8
042;2003;103.1
042;2004;103.9
042;2005;103.5
042;2006;105.9
042;2007;104.5
042;2008;105.2
042;2009;104.7
042;2010;105.7
042;2011;106.2
042;2012;107.4
042;2013;107.9
042;2014;109.6
051;2000;12.9
051;2001;15.5
051;2002;14.3
051;2003;11.6
051;2004;12.0
051;2005;11.6
051;2006;14.7
051;2007;16.3
051;2008;14.5
051;2009;12.9
051;2010;8.4
051;2011;8.6
051;2012;9.4
051;2013;10.4
051;2014;11.6
052;2000;45.6
052;2001;45.0
052;2002;44.9
052;2003;44.5
052;2004;45.1
052;2005;43.6
052;2006;45.1
052;2007;44.7
052;2008;47.3
052;2009;47.5
052;2010;47.3
052;2011;47.3
052;2012;47.5
052;2013;48.3
052;2014;48.6
053;2000;64.1
053;2001;64.2
053;2002;64.6
053;2003;63.5
053;2004;64.4
053;2005;64.3
053;2006;65.1
053;2007;65.4
053;2008;66.7
053;2009;66.7
053;2010;67.5
053;2011;68.0
053;2012;68.4
053;2013;69.3
053;2014;68.5
054;2000;44.8
054;2001;44.3
054;2002;44.7
054;2003;43.8
054;2004;45.6
054;2005;46.0
054;2006;45.7
054;2007;46.7
054;2008;47.0
054;2009;46.7
054;2010;47.5
054;2011;47.9
054;2012;47.5
054;2013;47.7
054;2014;49.2
055;2000;6.2
055;2001;6.1
055;2002;6.8
055;2003;6.9
055;2004;6.8
055;2005;6.9
055;2006;6.6
055;2007;6.6
055;2008;7.0
055;2009;7.3
055;2010;7.4
055;2011;7.4
055;2012;7.5
055;2013;7.6
055;2014;8.1
061;2000;105.1
061;2001;103.8
061;2002;104.7
061;2003;105.1
061;2004;103.2
061;2005;102.5
061;2006;103.7
061;2007;101.6
061;2008;101.6
061;2009;102.2
061;2010;102.2
061;2011;102.6
061;2012;103.2
061;2013;105.2
061;2014;106.1
062;2000;191.5
062;2001;189.5
062;2002;189.0
062;2003;191.7
062;2004;195.7
062;2005;197.9
062;2006;196.8
062;2007;196.8
062;2008;200.4
062;2009;199.6
062;2010;195.9
062;2011;198.0
062;2012;199.3
062;2013;200.0
062;2014;199.6
063;2000;229.2
063;2001;231.3
063;2002;231.8
063;2003;230.8
063;2004;229.8
063;2005;226.8
063;2006;228.6
063;2007;236.4
063;2008;239.6
063;2009;240.6
063;2010;238.4
063;2011;238.6
063;2012;240.7
063;2013;242.6
063;2014;246.1
071;2000;58.3
071;2001;58.0
071;2002;57.3
071;2003;57.1
071;2004;57.1
071;2005;56.2
071;2006;55.8
071;2007;57.0
071;2008;57.0
071;2009;57.5
071;2010;57.5
071;2011;58.0
071;2012;58.7
071;2013;59.3
071;2014;58.9
072;2000;33.5
072;2001;33.5
072;2002;33.5
072;2003;33.2
072;2004;32.9
072;2005;32.9
072;2006;32.8
072;2007;32.5
072;2008;32.7
072;2009;32.7
072;2010;32.9
072;2011;33.2
072;2012;32.8
072;2013;32.8
072;2014;33.2
073;2000;3.5
073;2001;3.7
073;2002;3.7
073;2003;3.7
073;2004;3.6
073;2005;3.6
073;2006;3.6
073;2007;3.5
073;2008;3.3
073;2009;3.8
073;2010;4.2
073;2011;4.1
073;2012;4.4
073;2013;4.5
073;2014;4.4
081;2000;65.6
081;2001;64.4
081;2002;65.3
081;2003;64.7
081;2004;64.4
081;2005;64.7
081;2006;64.3
081;2007;64.3
081;2008;64.7
081;2009;64.1
081;2010;63.8
081;2011;64.8
081;2012;65.1
081;2013;66.1
081;2014;65.2
082;2000;85.2
082;2001;85.1
082;2002;84.6
082;2003;84.2
082;2004;83.9
082;2005;81.5
082;2006;81.4
082;2007;83.1
082;2008;83.6
082;2009;84.0
082;2010;83.0
082;2011;84.1
082;2012;83.4
082;2013;83.2
082;2014;84.3
083;2000;134.1
083;2001;132.4
083;2002;132.5
083;2003;131.5
083;2004;134.9
083;2005;133.9
083;2006;132.4
083;2007;130.3
083;2008;133.1
083;2009;134.5
083;2010;132.4
083;2011;132.1
083;2012;134.1
083;2013;135.9
083;2014;136.4
084;2000;50.4
084;2001;49.5
084;2002;50.3
084;2003;49.8
084;2004;50.1
084;2005;49.8
084;2006;49.4
084;2007;49.9
084;2008;49.3
084;2009;49.4
084;2010;49.7
084;2011;50.1
084;2012;49.8
084;2013;50.2
084;2014;51.4
085;2000;114.5
085;2001;114.0
085;2002;112.9
085;2003;111.8
085;2004;111.9
085;2005;111.9
085;2006;111.0
085;2007;112.5
085;2008;112.2
085;2009;112.3
085;2010;110.6
085;2011;111.8
085;2012;113.3
085;2013;113.1
085;2014;113.9
091;2000;193.6
091;2001;191.7
091;2002;191.4
091;2003;192.9
091;2004;193.9
091;2005;193.8
091;2006;193.5
091;2007;194.5
091;2008;196.5
091;2009;199.5
091;2010;199.8
091;2011;199.4
091;2012;200.7
091;2013;199.4
091;2014;199.9
092;2000;75.9
092;2001;74.6
092;2002;73.9
092;2003;75.3
092;2004;74.7
092;2005;75.1
092;2006;75.3
092;2007;75.6
092;2008;74.6
092;2009;74.6
092;2010;74.3
092;2011;74.8
092;2012;76.1
092;2013;75.9
092;2014;77.2
101;2000;212.3
101;2001;209.1
101;2002;210.4
101;2003;211.4
101;2004;212.6
101;2005;205.6
101;2006;205.2
101;2007;208.0
101;2008;207.7
101;2009;208.1
101;2010;211.8
101;2011;212.2
101;2012;210.9
101;2013;213.6
101;2014;217.3
102;2000;152.3
102;2001;152.2
102;2002;152.6
102;2003;153.0
102;2004;154.4
102;2005;150.6
102;2006;148.9
102;2007;147.8
102;2008;149.3
102;2009;151.1
102;2010;150.0
102;2011;151.3
102;2012;156.1
102;2013;157.9
102;2014;158.3
103;2000;102.9
103;2001;104.7
103;2002;103.7
103;2003;105.0
103;2004;103.9
103;2005;103.0
103;2006;103.0
103;2007;103.6
103;2008;103.8
103;2009;102.8
103;2010;105.8
103;2011;107.7
103;2012;107.2
103;2013;108.3
103;2014;107.4
111;2000;191.5
111;2001;191.3
111;2002;192.9
111;2003;194.3
111;2004;192.7
111;2005;191.0
111;2006;189.7
111;2007;192.3
111;2008;193.8
111;2009;192.9
111;2010;194.5
111;2011;192.4
111;2012;193.5
111;2013;196.4
111;2014;196.8
112;2000;191.2
112;2001;188.7
112;2002;187.8
112;2003;182.9
112;2004;184.8
112;2005;185.3
112;2006;188.6
112;2007;187.9
112;2008;190.1
112;2009;188.9
112;2010;189.7
112;2011;188.7
112;2012;191.8
112;2013;193.0
112;2014;193.1
113;2000;284.3
113;2001;285.0
113;2002;291.9
113;2003;292.4
113;2004;291.2
113;2005;290.1
113;2006;289.4
113;2007;288.0
113;2008;291.7
113;2009;291.9
113;2010;290.5
113;2011;294.9
113;2012;295.4
113;2013;300.0
113;2014;297.6
114;2000;23.2
114;2001;22.7
114;2002;22.2
114;2003;21.4
114;2004;21.7
114;2005;20.8
114;2006;20.0
114;2007;19.8
114;2008;19.8
114;2009;21.5
114;2010;25.1
114;2011;27.1
114;2012;28.3
114;2013;28.3
114;2014;27.8
115;2000;39.6
115;2001;39.2
115;2002;39.2
115;2003;39.1
115;2004;38.8
115;2005;38.4
115;2006;38.6
115;2007;38.2
115;2008;38.2
115;2009;38.9
115;2010;38.7
115;2011;38.4
115;2012;38.5
115;2013;38.7
115;2014;39.9
121;2000;99.4
121;2001;99.5
121;2002;100.6
121;2003;97.6
121;2004;99.0
121;2005;96.4
121;2006;95.2
121;2007;93.4
121;2008;92.4
121;2009;94.7
121;2010;92.4
121;2011;91.3
121;2012;92.6
121;2013;95.9
121;2014;96.8
122;2000;87.0
122;2001;86.3
122;2002;87.1
122;2003;85.3
122;2004;84.4
122;2005;82.4
122;2006;83.6
122;2007;82.8
122;2008;84.4
122;2009;87.8
122;2010;89.7
122;2011;92.0
122;2012;91.6
122;2013;96.1
122;2014;101.4
131;2000;107.7
131;2001;109.4
131;2002;110.5
131;2003;113.0
131;2004;110.2
131;2005;109.0
131;2006;108.4
131;2007;110.8
131;2008;109.9
131;2009;114.3
131;2010;111.3
131;2011;111.8
131;2012;113.5
131;2013;116.9
131;2014;114.5
132;2000;194.1
132;2001;192.7
132;2002;191.7
132;2003;190.9
132;2004;192.9
132;2005;190.5
132;2006;192.0
132;2007;197.4
132;2008;204.6
132;2009;203.8
132;2010;203.6
132;2011;204.2
132;2012;208.7
132;2013;209.5
132;2014;208.1
141;2000;103.9
141;2001;103.4
141;2002;106.2
141;2003;110.2
141;2004;112.4
141;2005;111.9
141;2006;112.5
141;2007;112.8
141;2008;113.2
141;2009;113.8
141;2010;113.4
141;2011;113.3
141;2012;114.0
141;2013;112.7
141;2014;120.3
142;2000;50.5
142;2001;49.7
142;2002;50.4
142;2003;49.7
142;2004;49.8
142;2005;50.2
142;2006;48.8
142;2007;48.1
142;2008;48.3
142;2009;49.3
142;2010;47.9
142;2011;47.5
142;2012;47.3
142;2013;47.9
142;2014;48.5
151;2000;17.5
151;2001;17.2
151;2002;17.4
151;2003;17.4
151;2004;17.1
151;2005;17.4
151;2006;17.5
151;2007;17.1
151;2008;16.7
151;2009;17.0
151;2010;16.6
151;2011;17.4
151;2012;17.3
151;2013;18.0
151;2014;18.7
152;2000;46.4
152;2001;45.8
152;2002;45.5
152;2003;44.6
152;2004;45.0
152;2005;44.9
152;2006;44.4
152;2007;44.6
152;2008;44.5
152;2009;44.1
152;2010;44.3
152;2011;45.1
152;2012;44.8
152;2013;44.4
152;2014;44.7
153;2000;38.4
153;2001;38.7
153;2002;38.2
153;2003;37.5
153;2004;36.6
153;2005;35.3
153;2006;33.7
153;2007;33.0
153;2008;34.2
153;2009;34.9
153;2010;35.0
153;2011;35.0
153;2012;34.7
153;2013;34.7
153;2014;35.4
161;2009;126.1
161;2010;124.4
161;2011;122.5
161;2012;125.2
161;2013;128.2
161;2014;127.5
162;2009;15.2
162;2010;20.2
162;2011;23.2
162;2012;23.9
162;2013;23.9
162;2014;23.3
171;2000;176.3
171;2001;174.4
171;2002;172.7
171;2003;174.7
171;2004;177.0
171;2005;178.1
171;2006;180.9
171;2007;175.1
171;2008;184.1
171;2009;182.0
171;2010;179.1
171;2011;178.1
171;2012;185.8
171;2013;184.6
171;2014;188.7
172;2000;210.7
172;2001;199.4
172;2002;199.7
172;2003;201.7
172;2004;206.3
172;2005;201.8
172;2006;196.6
172;2007;198.3
172;2008;204.1
172;2009;202.6
172;2010;202.3
172;2011;205.3
172;2012;207.5
172;2013;212.1
172;2014;210.9
173;2000;330.3
173;2001;327.3
173;2002;343.3
173;2003;345.2
173;2004;346.4
173;2005;343.2
173;2006;345.1
173;2007;352.1
173;2008;356.1
173;2009;350.9
173;2010;344.2
173;2011;349.0
173;2012;343.7
173;2013;348.1
173;2014;346.3
174;2000;283.5
174;2001;287.8
174;2002;292.5
174;2003;295.8
174;2004;296.9
174;2005;298.3
174;2006;298.9
174;2007;299.9
174;2008;302.4
174;2009;298.7
174;2010;301.9
174;2011;306.3
174;2012;303.8
174;2013;310.1
174;2014;311.7
180;2000;77.6
180;2001;76.8
180;2002;76.9
180;2003;77.2
180;2004;76.8
180;2005;76.9
180;2006;78.1
180;2007;77.0
180;2008;78.1
180;2009;79.3
180;2010;78.4
180;2011;79.5
180;2012;79.7
180;2013;80.0
180;2014;80.6
190;2000;17.5
190;2001;17.5
190;2002;18.2
190;2003;18.5
190;2004;18.3
190;2005;18.9
190;2006;18.9
190;2007;18.8
190;2008;18.9
190;2009;19.5
190;2010;19.4
190;2011;19.9
190;2012;21.3
190;2013;21.3
190;2014;21.3
201;2000;26.7
201;2001;27.7
201;2002;28.0
201;2003;28.2
201;2004;27.9
201;2005;27.3
201;2006;27.2
201;2007;27.2
201;2008;27.6
201;2009;27.8
201;2010;28.1
201;2011;28.1
201;2012;28.1
201;2013;27.7
201;2014;27.6
202;2000;24.2
202;2001;24.9
202;2002;24.5
202;2003;24.6
202;2004;24.4
202;2005;24.6
202;2006;25.0
202;2007;24.8
202;2008;24.3
202;2009;24.8
202;2010;24.8
202;2011;24.7
202;2012;24.5
202;2013;24.7
202;2014;25.2
203;2000;9.7
203;2001;9.4
203;2002;9.1
203;2003;9.1
203;2004;9.2
203;2005;9.0
203;2006;9.3
203;2007;9.5
203;2008;9.5
203;2009;9.5
203;2010;9.8
203;2011;9.8
203;2012;10.2
203;2013;10.2
203;2014;10.1
204;2000;5.5
204;2001;5.6
204;2002;5.6
204;2003;5.5
204;2004;5.4
204;2005;5.2
204;2006;5.1
204;2007;5.3
204;2008;5.2
204;2009;5.2
204;2010;5.3
204;2011;5.4
204;2012;5.4
204;2013;5.4
204;2014;5.4
205;2000;11.6
205;2001;11.7
205;2002;11.8
205;2003;11.7
205;2004;11.5
205;2005;11.5
205;2006;11.6
205;2007;11.5
205;2008;11.5
205;2009;11.5
205;2010;11.9
205;2011;11.9
205;2012;11.8
205;2013;12.0
205;2014;11.7
206;2000;25.5
206;2001;25.3
206;2002;25.8
206;2003;25.4
206;2004;25.6
206;2005;25.2
206;2006;24.9
206;2007;25.0
206;2008;25.2
206;2009;25.4
206;2010;25.6
206;2011;25.8
206;2012;25.6
206;2013;26.0
206;2014;26.3
207;2000;38.6
207;2001;38.7
207;2002;38.3
207;2003;38.4
207;2004;38.5
207;2005;38.3
207;2006;38.5
207;2007;38.7
207;2008;38.3
207;2009;37.7
207;2010;38.1
207;2011;37.8
207;2012;38.2
207;2013;38.8
207;2014;38.8
208;2000;16.8
208;2001;16.7
208;2002;16.9
208;2003;17.1
208;2004;17.1
208;2005;17.2
208;2006;17.2
208;2007;17.0
208;2008;17.5
208;2009;17.2
208;2010;17.1
208;2011;17.1
208;2012;17.3
208;2013;17.1
208;2014;17.1
301;2000;6.7
301;2001;6.6
301;2002;6.7
301;2003;6.7
301;2004;6.8
301;2005;6.7
301;2006;6.8
301;2007;6.7
301;2008;6.8
301;2009;6.8
301;2010;6.8
301;2011;6.9
301;2012;7.0
301;2013;7.0
301;2014;7.2
302;2000;3.0
302;2001;3.0
302;2002;3.0
302;2003;3.2
302;2004;3.1
302;2005;3.2
302;2006;3.1
302;2007;3.0
302;2008;2.8
302;2009;3.0
302;2010;2.7
302;2011;2.7
302;2012;2.7
302;2013;2.7
302;2014;2.8
161;2000;112.8
161;2001;113.6
161;2002;117.8
161;2003;118.5
161;2004;120.3
161;2005;120.5
161;2006;123.3
161;2007;124.5
161;2008;127.0
162;2000;3.7
162;2001;4.9
162;2002;5.2
162;2003;5.7
162;2004;5.1
162;2005;5.6
162;2006;5.7
162;2007;5.9
162;2008;6.5
011;2015;25.2
012;2015;30.1
013;2015;114.2
014;2015;98.7
021;2015;53.5
022;2015;133.9
023;2015;63.7
024;2015;28.8
025;2015;67.6
026;2015;43.3
031;2015;115.3
032;2015;138.7
033;2015;114.0
034;2015;34.2
041;2015;165.6
042;2015;108.4
051;2015;11.6
052;2015;47.5
053;2015;68.7
054;2015;49.8
055;2015;8.1
061;2015;107.1
062;2015;196.8
063;2015;244.5
071;2015;58.9
072;2015;33.3
073;2015;4.2
081;2015;65.4
082;2015;86.1
083;2015;135.6
084;2015;51.0
085;2015;115.0
091;2015;200.2
092;2015;77.0
101;2015;217.4
102;2015;158.2
103;2015;110.1
111;2015;193.9
112;2015;189.5
113;2015;295.3
114;2015;28.2
115;2015;39.3
121;2015;97.3
122;2015;99.6
131;2015;117.8
132;2015;203.7
141;2015;121.0
142;2015;48.4
151;2015;19.1
152;2015;44.1
153;2015;35.9
161;2015;127.0
162;2015;56.1
171;2015;188.0
172;2015;212.4
173;2015;346.1
174;2015;305.8
180;2015;79.8
190;2015;21.4
201;2015;27.6
202;2015;25.3
203;2015;10.1
204;2015;5.2
205;2015;11.6
206;2015;25.9
207;2015;38.7
208;2015;17.3
301;2015;7.0
302;2015;2.7
