wbe;jahr;m
011;2000;142
011;2001;139
011;2002;137
011;2003;143
011;2004;142
011;2005;146
011;2006;151
011;2007;160
011;2008;148
011;2009;137
011;2010;131
011;2011;127
011;2012;125
011;2013;134
011;2014;142
011;2015;135
012;2000;215
012;2001;214
012;2002;201
012;2003;205
012;2004;204
012;2005;212
012;2006;209
012;2007;219
012;2008;220
012;2009;216
012;2010;214
012;2011;215
012;2012;212
012;2013;210
012;2014;202
012;2015;210
013;2000;267
013;2001;277
013;2002;266
013;2003;257
013;2004;260
013;2005;254
013;2006;253
013;2007;264
013;2008;274
013;2009;262
013;2010;246
013;2011;262
013;2012;267
013;2013;269
013;2014;280
013;2015;293
014;2000;436
014;2001;411
014;2002;430
014;2003;428
014;2004;422
014;2005;412
014;2006;403
014;2007;392
014;2008;388
014;2009;378
014;2010;384
014;2011;389
014;2012;405
014;2013;408
014;2014;409
014;2015;429
021;2000;766
021;2001;744
021;2002;734
021;2003;700
021;2004;691
021;2005;684
021;2006;665
021;2007;658
021;2008;661
021;2009;655
021;2010;636
021;2011;651
021;2012;683
021;2013;704
021;2014;705
021;2015;716
022;2000;238
022;2001;245
022;2002;238
022;2003;231
022;2004;238
022;2005;253
022;2006;245
022;2007;242
022;2008;258
022;2009;254
022;2010;263
022;2011;261
022;2012;252
022;2013;265
022;2014;258
022;2015;273
023;2000;395
023;2001;403
023;2002;406
023;2003;397
023;2004;394
023;2005;411
023;2006;430
023;2007;435
023;2008;437
023;2009;422
023;2010;424
023;2011;417
023;2012;421
023;2013;416
023;2014;418
023;2015;404
024;2000;295
024;2001;300
024;2002;301
024;2003;298
024;2004;286
024;2005;297
024;2006;307
024;2007;293
024;2008;299
024;2009;329
024;2010;343
024;2011;333
024;2012;307
024;2013;336
024;2014;325
024;2015;329
025;2000;521
025;2001;527
025;2002;506
025;2003;490
025;2004;497
025;2005;495
025;2006;515
025;2007;517
025;2008;540
025;2009;550
025;2010;530
025;2011;505
025;2012;504
025;2013;549
025;2014;590
025;2015;587
026;2000;104
026;2001;110
026;2002;119
026;2003;109
026;2004;110
026;2005;111
026;2006;116
026;2007;119
026;2008;104
026;2009;100
026;2010;105
026;2011;99
026;2012;106
026;2013;101
026;2014;99
026;2015;103
031;2000;1453
031;2001;1374
031;2002;1391
031;2003;1416
031;2004;1424
031;2005;1409
031;2006;1368
031;2007;1378
031;2008;1386
031;2009;1395
031;2010;1383
031;2011;1387
031;2012;1364
031;2013;1424
031;2014;1441
031;2015;1449
032;2000;1571
032;2001;1578
032;2002;1607
032;2003;1616
032;2004;1652
032;2005;1677
032;2006;1646
032;2007;1614
032;2008;1595
032;2009;1629
032;2010;1617
032;2011;1649
032;2012;1650
032;2013;1638
032;2014;1640
032;2015;1669
033;2000;1619
033;2001;1595
033;2002;1596
033;2003;1598
033;2004;1595
033;2005;1617
033;2006;1574
033;2007;1581
033;2008;1590
033;2009;1599
033;2010;1662
033;2011;1704
033;2012;1725
033;2013;1736
033;2014;1691
033;2015;1686
034;2000;97
034;2001;89
034;2002;96
034;2003;93
034;2004;109
034;2005;132
034;2006;143
034;2007;133
034;2008;131
034;2009;139
034;2010;115
034;2011;100
034;2012;128
034;2013;144
034;2014;136
034;2015;118
041;2000;1855
041;2001;1853
041;2002;1766
041;2003;1838
041;2004;1813
041;2005;1791
041;2006;1789
041;2007;1836
041;2008;1851
041;2009;1866
041;2010;1867
041;2011;1916
041;2012;1917
041;2013;1975
041;2014;1987
041;2015;2016
042;2000;2076
042;2001;2030
042;2002;1986
042;2003;1987
042;2004;1993
042;2005;1998
042;2006;2051
042;2007;2018
042;2008;2028
042;2009;2011
042;2010;2024
042;2011;2054
042;2012;2071
042;2013;2063
042;2014;2117
042;2015;2109
051;2000;41
051;2001;53
051;2002;47
051;2003;34
051;2004;35
051;2005;35
051;2006;44
051;2007;49
051;2008;44
051;2009;43
051;2010;28
051;2011;30
051;2012;30
051;2013;35
051;2014;41
051;2015;38
052;2000;444
052;2001;444
052;2002;433
052;2003;445
052;2004;451
052;2005;431
052;2006;454
052;2007;463
052;2008;505
052;2009;507
052;2010;495
052;2011;484
052;2012;505
052;2013;515
052;2014;541
052;2015;523
053;2000;2635
053;2001;2617
053;2002;2648
053;2003;2582
053;2004;2617
053;2005;2633
053;2006;2664
053;2007;2688
053;2008;2749
053;2009;2747
053;2010;2791
053;2011;2817
053;2012;2845
053;2013;2903
053;2014;2877
053;2015;2897
054;2000;917
054;2001;915
054;2002;925
054;2003;907
054;2004;953
054;2005;973
054;2006;975
054;2007;1011
054;2008;1021
054;2009;1027
054;2010;1054
054;2011;1062
054;2012;1043
054;2013;1032
054;2014;1075
054;2015;1083
055;2000;396
055;2001;387
055;2002;425
055;2003;424
055;2004;418
055;2005;431
055;2006;407
055;2007;409
055;2008;443
055;2009;474
055;2010;474
055;2011;474
055;2012;468
055;2013;470
055;2014;492
055;2015;489
061;2000;2922
061;2001;2920
061;2002;2938
061;2003;2946
061;2004;2852
061;2005;2826
061;2006;2859
061;2007;2797
061;2008;2777
061;2009;2820
061;2010;2832
061;2011;2824
061;2012;2813
061;2013;2895
061;2014;2881
061;2015;2918
062;2000;3579
062;2001;3543
062;2002;3553
062;2003;3632
062;2004;3720
062;2005;3764
062;2006;3740
062;2007;3759
062;2008;3835
062;2009;3838
062;2010;3728
062;2011;3782
062;2012;3802
062;2013;3826
062;2014;3789
062;2015;3764
063;2000;2420
063;2001;2430
063;2002;2455
063;2003;2452
063;2004;2470
063;2005;2395
063;2006;2426
063;2007;2527
063;2008;2536
063;2009;2553
063;2010;2502
063;2011;2509
063;2012;2569
063;2013;2546
063;2014;2575
063;2015;2593
071;2000;2467
071;2001;2477
071;2002;2442
071;2003;2455
071;2004;2468
071;2005;2415
071;2006;2390
071;2007;2448
071;2008;2445
071;2009;2491
071;2010;2502
071;2011;2518
071;2012;2568
071;2013;2612
071;2014;2591
071;2015;2587
072;2000;1566
072;2001;1570
072;2002;1554
072;2003;1539
072;2004;1527
072;2005;1522
072;2006;1518
072;2007;1500
072;2008;1525
072;2009;1523
072;2010;1539
072;2011;1567
072;2012;1551
072;2013;1578
072;2014;1578
072;2015;1588
073;2000;106
073;2001;111
073;2002;113
073;2003;112
073;2004;107
073;2005;106
073;2006;103
073;2007;105
073;2008;95
073;2009;113
073;2010;126
073;2011;124
073;2012;130
073;2013;133
073;2014;132
073;2015;126
081;2000;1011
081;2001;1003
081;2002;1007
081;2003;991
081;2004;998
081;2005;993
081;2006;983
081;2007;982
081;2008;991
081;2009;968
081;2010;982
081;2011;989
081;2012;993
081;2013;1023
081;2014;1015
081;2015;1035
082;2000;829
082;2001;828
082;2002;833
082;2003;829
082;2004;827
082;2005;797
082;2006;805
082;2007;832
082;2008;840
082;2009;837
082;2010;837
082;2011;849
082;2012;850
082;2013;836
082;2014;853
082;2015;871
083;2000;981
083;2001;961
083;2002;975
083;2003;954
083;2004;975
083;2005;971
083;2006;972
083;2007;950
083;2008;976
083;2009;982
083;2010;959
083;2011;968
083;2012;1002
083;2013;1012
083;2014;1020
083;2015;1013
084;2000;721
084;2001;704
084;2002;723
084;2003;707
084;2004;704
084;2005;697
084;2006;707
084;2007;710
084;2008;706
084;2009;707
084;2010;704
084;2011;706
084;2012;699
084;2013;709
084;2014;724
084;2015;744
085;2000;2488
085;2001;2486
085;2002;2458
085;2003;2440
085;2004;2443
085;2005;2461
085;2006;2437
085;2007;2464
085;2008;2455
085;2009;2467
085;2010;2437
085;2011;2442
085;2012;2488
085;2013;2505
085;2014;2517
085;2015;2547
091;2000;2148
091;2001;2131
091;2002;2126
091;2003;2153
091;2004;2167
091;2005;2171
091;2006;2168
091;2007;2174
091;2008;2183
091;2009;2236
091;2010;2260
091;2011;2266
091;2012;2269
091;2013;2272
091;2014;2277
091;2015;2292
092;2000;780
092;2001;767
092;2002;756
092;2003;775
092;2004;763
092;2005;758
092;2006;753
092;2007;764
092;2008;757
092;2009;754
092;2010;756
092;2011;767
092;2012;788
092;2013;801
092;2014;805
092;2015;802
101;2000;2925
101;2001;2867
101;2002;2873
101;2003;2896
101;2004;2922
101;2005;2825
101;2006;2826
101;2007;2886
101;2008;2881
101;2009;2888
101;2010;2937
101;2011;2977
101;2012;2963
101;2013;3026
101;2014;3062
101;2015;3086
102;2000;1889
102;2001;1860
102;2002;1883
102;2003;1902
102;2004;1936
102;2005;1911
102;2006;1929
102;2007;1924
102;2008;1930
102;2009;1977
102;2010;1943
102;2011;1979
102;2012;2079
102;2013;2098
102;2014;2127
102;2015;2106
103;2000;2325
103;2001;2396
103;2002;2372
103;2003;2416
103;2004;2374
103;2005;2359
103;2006;2385
103;2007;2391
103;2008;2431
103;2009;2427
103;2010;2535
103;2011;2586
103;2012;2567
103;2013;2600
103;2014;2566
103;2015;2652
111;2000;1726
111;2001;1718
111;2002;1724
111;2003;1712
111;2004;1719
111;2005;1712
111;2006;1697
111;2007;1711
111;2008;1754
111;2009;1742
111;2010;1741
111;2011;1731
111;2012;1725
111;2013;1755
111;2014;1756
111;2015;1715
112;2000;905
112;2001;887
112;2002;874
112;2003;841
112;2004;861
112;2005;857
112;2006;886
112;2007;886
112;2008;894
112;2009;878
112;2010;885
112;2011;888
112;2012;901
112;2013;903
112;2014;910
112;2015;882
113;2000;3356
113;2001;3393
113;2002;3496
113;2003;3536
113;2004;3524
113;2005;3514
113;2006;3510
113;2007;3480
113;2008;3517
113;2009;3477
113;2010;3475
113;2011;3559
113;2012;3561
113;2013;3583
113;2014;3521
113;2015;3500
114;2000;890
114;2001;876
114;2002;877
114;2003;831
114;2004;842
114;2005;829
114;2006;798
114;2007;788
114;2008;778
114;2009;838
114;2010;969
114;2011;1039
114;2012;1100
114;2013;1115
114;2014;1103
114;2015;1108
115;2000;1818
115;2001;1792
115;2002;1801
115;2003;1786
115;2004;1780
115;2005;1746
115;2006;1765
115;2007;1751
115;2008;1752
115;2009;1796
115;2010;1778
115;2011;1770
115;2012;1776
115;2013;1806
115;2014;1852
115;2015;1835
121;2000;785
121;2001;786
121;2002;815
121;2003;792
121;2004;803
121;2005;792
121;2006;778
121;2007;751
121;2008;736
121;2009;755
121;2010;744
121;2011;738
121;2012;743
121;2013;770
121;2014;783
121;2015;779
122;2000;434
122;2001;427
122;2002;421
122;2003;400
122;2004;406
122;2005;402
122;2006;406
122;2007;392
122;2008;404
122;2009;413
122;2010;428
122;2011;441
122;2012;444
122;2013;456
122;2014;481
122;2015;466
131;2000;450
131;2001;461
131;2002;466
131;2003;482
131;2004;472
131;2005;470
131;2006;463
131;2007;475
131;2008;467
131;2009;478
131;2010;475
131;2011;482
131;2012;496
131;2013;516
131;2014;495
131;2015;517
132;2000;1384
132;2001;1410
132;2002;1425
132;2003;1409
132;2004;1415
132;2005;1402
132;2006;1419
132;2007;1459
132;2008;1514
132;2009;1525
132;2010;1529
132;2011;1510
132;2012;1547
132;2013;1546
132;2014;1542
132;2015;1513
141;2000;1323
141;2001;1297
141;2002;1332
141;2003;1391
141;2004;1429
141;2005;1431
141;2006;1451
141;2007;1446
141;2008;1459
141;2009;1446
141;2010;1433
141;2011;1440
141;2012;1461
141;2013;1421
141;2014;1521
141;2015;1540
142;2000;1102
142;2001;1089
142;2002;1116
142;2003;1103
142;2004;1099
142;2005;1112
142;2006;1076
142;2007;1065
142;2008;1077
142;2009;1099
142;2010;1075
142;2011;1072
142;2012;1068
142;2013;1084
142;2014;1098
142;2015;1093
151;2000;1247
151;2001;1219
151;2002;1260
151;2003;1263
151;2004;1247
151;2005;1255
151;2006;1272
151;2007;1251
151;2008;1208
151;2009;1229
151;2010;1200
151;2011;1249
151;2012;1265
151;2013;1316
151;2014;1380
151;2015;1401
152;2000;1169
152;2001;1143
152;2002;1152
152;2003;1134
152;2004;1154
152;2005;1153
152;2006;1139
152;2007;1155
152;2008;1151
152;2009;1143
152;2010;1152
152;2011;1172
152;2012;1170
152;2013;1150
152;2014;1168
152;2015;1159
153;2000;1691
153;2001;1702
153;2002;1688
153;2003;1661
153;2004;1616
153;2005;1565
153;2006;1509
153;2007;1485
153;2008;1550
153;2009;1584
153;2010;1586
153;2011;1595
153;2012;1574
153;2013;1586
153;2014;1625
153;2015;1640
161;2000;2136
161;2001;2150
161;2002;2239
161;2003;2253
161;2004;2313
161;2005;2325
161;2006;2387
161;2007;2388
161;2008;2453
161;2009;2446
161;2010;2410
161;2011;2385
161;2012;2403
161;2013;2459
161;2014;2482
161;2015;2482
162;2000;56
162;2001;71
162;2002;77
162;2003;80
162;2004;74
162;2005;75
162;2006;77
162;2007;79
162;2008;92
162;2009;207
162;2010;266
162;2011;318
162;2012;332
162;2013;341
162;2014;336
162;2015;759
171;2000;707
171;2001;699
171;2002;691
171;2003;704
171;2004;718
171;2005;716
171;2006;734
171;2007;716
171;2008;750
171;2009;738
171;2010;724
171;2011;737
171;2012;771
171;2013;763
171;2014;780
171;2015;762
172;2000;1822
172;2001;1701
172;2002;1697
172;2003;1741
172;2004;1778
172;2005;1730
172;2006;1675
172;2007;1693
172;2008;1748
172;2009;1759
172;2010;1745
172;2011;1784
172;2012;1807
172;2013;1856
172;2014;1843
172;2015;1864
173;2000;1611
173;2001;1601
173;2002;1690
173;2003;1661
173;2004;1673
173;2005;1658
173;2006;1690
173;2007;1698
173;2008;1713
173;2009;1693
173;2010;1641
173;2011;1649
173;2012;1593
173;2013;1622
173;2014;1641
173;2015;1639
174;2000;3653
174;2001;3711
174;2002;3802
174;2003;3851
174;2004;3866
174;2005;3905
174;2006;3872
174;2007;3906
174;2008;3966
174;2009;3978
174;2010;3984
174;2011;4017
174;2012;3969
174;2013;4101
174;2014;4132
174;2015;4043
180;2000;3605
180;2001;3576
180;2002;3564
180;2003;3584
180;2004;3553
180;2005;3593
180;2006;3627
180;2007;3605
180;2008;3619
180;2009;3697
180;2010;3661
180;2011;3721
180;2012;3710
180;2013;3702
180;2014;3754
180;2015;3727
190;2000;1141
190;2001;1148
190;2002;1210
190;2003;1229
190;2004;1210
190;2005;1272
190;2006;1278
190;2007;1269
190;2008;1279
190;2009;1334
190;2010;1321
190;2011;1365
190;2012;1466
190;2013;1463
190;2014;1446
190;2015;1468
201;2000;1397
201;2001;1446
201;2002;1467
201;2003;1490
201;2004;1462
201;2005;1432
201;2006;1430
201;2007;1442
201;2008;1473
201;2009;1476
201;2010;1517
201;2011;1522
201;2012;1512
201;2013;1499
201;2014;1473
201;2015;1477
202;2000;1100
202;2001;1134
202;2002;1113
202;2003;1115
202;2004;1101
202;2005;1102
202;2006;1133
202;2007;1138
202;2008;1105
202;2009;1125
202;2010;1118
202;2011;1091
202;2012;1098
202;2013;1105
202;2014;1134
202;2015;1125
203;2000;542
203;2001;531
203;2002;528
203;2003;534
203;2004;537
203;2005;522
203;2006;548
203;2007;553
203;2008;555
203;2009;553
203;2010;581
203;2011;570
203;2012;605
203;2013;606
203;2014;599
203;2015;600
204;2000;472
204;2001;485
204;2002;485
204;2003;488
204;2004;470
204;2005;448
204;2006;435
204;2007;443
204;2008;443
204;2009;443
204;2010;451
204;2011;468
204;2012;464
204;2013;466
204;2014;453
204;2015;435
205;2000;996
205;2001;1011
205;2002;1024
205;2003;1013
205;2004;990
205;2005;988
205;2006;1004
205;2007;996
205;2008;992
205;2009;981
205;2010;1037
205;2011;1020
205;2012;1025
205;2013;1031
205;2014;1012
205;2015;1001
206;2000;1108
206;2001;1098
206;2002;1125
206;2003;1087
206;2004;1105
206;2005;1090
206;2006;1068
206;2007;1076
206;2008;1094
206;2009;1109
206;2010;1102
206;2011;1109
206;2012;1094
206;2013;1119
206;2014;1133
206;2015;1110
207;2000;2949
207;2001;2967
207;2002;2926
207;2003;2923
207;2004;2916
207;2005;2910
207;2006;2919
207;2007;2948
207;2008;2894
207;2009;2848
207;2010;2873
207;2011;2856
207;2012;2906
207;2013;2961
207;2014;2948
207;2015;2951
208;2000;998
208;2001;985
208;2002;1005
208;2003;1022
208;2004;1015
208;2005;1027
208;2006;1020
208;2007;1017
208;2008;1034
208;2009;1015
208;2010;1026
208;2011;1027
208;2012;1049
208;2013;1013
208;2014;1023
208;2015;1059
301;2000;462
301;2001;448
301;2002;448
301;2003;453
301;2004;462
301;2005;452
301;2006;462
301;2007;456
301;2008;466
301;2009;464
301;2010;468
301;2011;467
301;2012;475
301;2013;479
301;2014;504
301;2015;493
302;2000;105
302;2001;99
302;2002;89
302;2003;101
302;2004;101
302;2005;105
302;2006;108
302;2007;99
302;2008;97
302;2009;100
302;2010;93
302;2011;99
302;2012;100
302;2013;94
302;2014;97
302;2015;100
